Price,Dien Tich,Do Rong Mat Duong,So Tang,Khoang Cach
7.7 tỷ,50 m2,5m,5,"Đường Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
14.5 tỷ,134 m2,7m,2,"Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội"
7.25 tỷ,120 m2,3m,3,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
2.55 tỷ,26 m2,2m,3,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
16.3 tỷ,55 m2,15m,7,"Đường Đào Tấn, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
3.4 tỷ,34 m2,3m,5,"Phố Đội cấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
12.8 tỷ,58 m2,6m,5,"Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội"
4.2 tỷ,44 m2,3m,4,"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
14 tỷ,60 m2,5m,8,"Phố Đội cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
13.6 tỷ,70 m2,5m,6,"Phố Đội cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
11 tỷ,118 m2,5m,3,"Phố Ngọc Khánh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
24 tỷ,90 m2,25m,3,"Phố Ngọc Khánh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
4.7 tỷ,39 m2,2m,5,"Phố Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội"
3.9 tỷ,47 m2,3m,3,"Đường Hoàng Hoa Thám, Phường Cống Vị, Quận Ba Đình, Hà Nội"
5.5 tỷ,60 m2,3m,5,"Phố Đội cấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
2.95 tỷ,30 m2,2m,5,"Đường Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
13 tỷ,80 m2,4m,6,"Phố Vạn Bảo, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
9.9 tỷ,95 m2,4m,4,"Phố Ngọc Khánh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
12 tỷ,90 m2,4m,6,"Đường Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
8.7 tỷ,78 m2,5m,4,"Đường Kim Mã, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
11.2 tỷ,79 m2,5m,5,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
23 tỷ,300 m2,8m,1,"Phố Đội cấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
7.5 tỷ,55 m2,6m,4,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
3.05 tỷ,33 m2,3m,5,"Phố Đội cấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
3.05 tỷ,39 m2,4m,5,"Phố Đội cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
130 triệu / m2,65 m2,15m,1,"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
21.9 tỷ,55 m2,6m,10,"Đường Đào Tấn, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
17 tỷ,94 m2,4m,4,"Phố Giang Văn Minh, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
39.5 tỷ,117 m2,12m,4,"Phố Đặng Dung, Phường Quán Thánh, Quận Ba Đình, Hà Nội"
4.4 tỷ,35 m2,3m,4,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
17 tỷ,94 m2,4m,4,"Phố Giang Văn Minh, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
6.3 tỷ,62 m2,3m,4,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
5.95 tỷ,86 m2,"2,5m",3,"Đường Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
6.3 tỷ,76 m2,"2,5m",3,"Đường Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
21.9 tỷ,55 m2,6m,10,"Đường Đào Tấn, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
3.7 tỷ,39 m2,2m,5,"Phố Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội"
3.6 tỷ,38 m2,4m,5,"Phố Vạn Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
7.3 tỷ,44 m2,5m,5,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
3.9 tỷ,35 m2,4m,4,"Phố Đội cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
3.1 tỷ,32 m2,3m,5,"Phố Phan Kế Bính, Phường Cống Vị, Quận Ba Đình, Hà Nội"
6.3 tỷ,53 m2,3m,4,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
4.2 tỷ,30 m2,4m,5,"Phố Lê Hồng Phong, Phường Điện Biên, Quận Ba Đình, Hà Nội"
3.15 tỷ,40 m2,3m,3,"Phố Đội cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
3 tỷ,31 m2,3m,4,"Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
7.7 tỷ,52 m2,5m,5,"Phố Đội cấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
3.9 tỷ,33 m2,3m,4,"Phố Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
7.5 tỷ,40 m2,5m,6,"Phố Kim Mã Thượng, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
3.3 tỷ,38 m2,3m,4,"Đường Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
11.2 tỷ,70 m2,6m,5,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
3.4 tỷ,36 m2,3m,3,"Đường Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
3.2 tỷ,30 m2,3m,4,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
3.6 tỷ,35 m2,3m,4,"Phố Đội cấn, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"
3.7 tỷ,45 m2,3m,5,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
3.6 tỷ,45 m2,3m,5,"Phố Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
5.4 tỷ,35 m2,4m,5,"Phố Lê Hồng Phong, Phường Điện Biên, Quận Ba Đình, Hà Nội"
13.5 tỷ,55 m2,5m,9,"Đường Đào Tấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
